,cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,year,unidad_medida,valor
410,11,Guanajuato,3,San Miguel de Allende,1002000026,Nacimientos,2012,Nacimientos,3744.0
411,11,Guanajuato,3,San Miguel de Allende,1002000026,Nacimientos,2013,Nacimientos,3347.0
412,11,Guanajuato,3,San Miguel de Allende,1002000026,Nacimientos,2014,Nacimientos,3145.0
413,11,Guanajuato,3,San Miguel de Allende,1002000026,Nacimientos,2015,Nacimientos,3407.0
414,11,Guanajuato,3,San Miguel de Allende,1002000026,Nacimientos,2016,Nacimientos,3743.0
415,11,Guanajuato,3,San Miguel de Allende,1002000026,Nacimientos,2017,Nacimientos,3897.0
416,11,Guanajuato,3,San Miguel de Allende,1002000026,Nacimientos,2018,Nacimientos,3741.0
417,11,Guanajuato,3,San Miguel de Allende,1002000026,Nacimientos,2019,Nacimientos,3887.0
418,11,Guanajuato,3,San Miguel de Allende,1002000026,Nacimientos,2020,Nacimientos,3078.0
419,11,Guanajuato,3,San Miguel de Allende,1002000026,Nacimientos,2021,Nacimientos,3373.0
420,11,Guanajuato,3,San Miguel de Allende,1002000027,Nacimientos hombres,1994,Nacimientos,2677.0
421,11,Guanajuato,3,San Miguel de Allende,1002000027,Nacimientos hombres,1995,Nacimientos,2513.0
422,11,Guanajuato,3,San Miguel de Allende,1002000027,Nacimientos hombres,1996,Nacimientos,2448.0
423,11,Guanajuato,3,San Miguel de Allende,1002000027,Nacimientos hombres,1997,Nacimientos,2536.0
424,11,Guanajuato,3,San Miguel de Allende,1002000027,Nacimientos hombres,1998,Nacimientos,2244.0
425,11,Guanajuato,3,San Miguel de Allende,1002000027,Nacimientos hombres,1999,Nacimientos,2298.0
426,11,Guanajuato,3,San Miguel de Allende,1002000027,Nacimientos hombres,2000,Nacimientos,2274.0
427,11,Guanajuato,3,San Miguel de Allende,1002000027,Nacimientos hombres,2001,Nacimientos,2271.0
428,11,Guanajuato,3,San Miguel de Allende,1002000027,Nacimientos hombres,2002,Nacimientos,2100.0
429,11,Guanajuato,3,San Miguel de Allende,1002000027,Nacimientos hombres,2003,Nacimientos,2282.0
430,11,Guanajuato,3,San Miguel de Allende,1002000027,Nacimientos hombres,2004,Nacimientos,2040.0
431,11,Guanajuato,3,San Miguel de Allende,1002000027,Nacimientos hombres,2005,Nacimientos,2045.0
432,11,Guanajuato,3,San Miguel de Allende,1002000027,Nacimientos hombres,2006,Nacimientos,1895.0
433,11,Guanajuato,3,San Miguel de Allende,1002000027,Nacimientos hombres,2007,Nacimientos,2165.0
434,11,Guanajuato,3,San Miguel de Allende,1002000027,Nacimientos hombres,2008,Nacimientos,2036.0
435,11,Guanajuato,3,San Miguel de Allende,1002000027,Nacimientos hombres,2009,Nacimientos,2058.0
436,11,Guanajuato,3,San Miguel de Allende,1002000027,Nacimientos hombres,2010,Nacimientos,2073.0
437,11,Guanajuato,3,San Miguel de Allende,1002000027,Nacimientos hombres,2011,Nacimientos,2016.0
438,11,Guanajuato,3,San Miguel de Allende,1002000027,Nacimientos hombres,2012,Nacimientos,1902.0
439,11,Guanajuato,3,San Miguel de Allende,1002000027,Nacimientos hombres,2013,Nacimientos,1664.0
440,11,Guanajuato,3,San Miguel de Allende,1002000027,Nacimientos hombres,2014,Nacimientos,1597.0
441,11,Guanajuato,3,San Miguel de Allende,1002000027,Nacimientos hombres,2015,Nacimientos,1717.0
